Tile,MagType,Error,MagErr_Box,MagErr_Fit
S82p36p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,25.9877992346
S82m12p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0392100698,24.9210598774
S82m12p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.1612347875
S82m12p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0492727048,24.9504991037
S82m12p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.1873055087
S82m12p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,24.0633477301,-0.609437912434
S82m12p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m12p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.3795746406,25.5001742166
S82m12p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.5767968055
S82m30m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8736487107,24.7167143694
S82m30m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.9007082552
S82m30m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8848076141,24.7497931684
S82m30m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9345294248
S82m30m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7325047528,-0.609437912434
S82m30m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m30m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.1496287538,25.2887800867
S82m30m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.3722836281
S82p40p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7404638821,24.5439884165
S82p40p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7814523347
S82p40p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7523827965,24.5731145554
S82p40p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8077766993
S82p40p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5688280079,-0.609437912434
S82p40p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p40p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0288286275
S82p40p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0923443743
S82p23p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7196181149,24.5616475668
S82p23p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7924743283
S82p23p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7296242975,24.5869781834
S82p23p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8136045318
S82p23p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6651743328,-0.609437912434
S82p23p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p23p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.0512869401,25.091233209
S82p23p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1432715068
S82p32p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0260436318,24.8421957293
S82p32p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0878565187
S82p32p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0012535389,24.8721052847
S82p32p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.114063323
S82p32p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.9229190051,-0.609437912434
S82p32p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p32p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2871724923,25.3448732271
S82p32p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4128131632
S82m16p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8750898664,24.576005365
S82m16p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8057888215
S82m16p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8916682026,24.614444591
S82m16p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8443860499
S82m16p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.4600076816,-0.609437912434
S82m16p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m16p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0143424348
S82m16p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1110823502
S82p29m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.1629869464,25.049283787
S82p29m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.3125232068
S82p29m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.1732761597,25.0775730798
S82p29m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.3359299178
S82p29m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,24.1350316377,-0.609437912434
S82p29m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p29m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.5536410899,25.6484039115
S82p29m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.7232225792
S82p31p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.837995699,24.6042283501
S82p31p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8500037432
S82p31p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8507519312,24.6343602428
S82p31p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8773480239
S82p31p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6685620381,-0.609437912434
S82p31p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p31p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0553524906
S82p31p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1282085635
S82m30p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9674857525,24.8116161364
S82m30p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0206072299
S82m30p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9810465443,24.8531072098
S82m30p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0637320788
S82m30p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.9184637091,-0.609437912434
S82m30p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m30p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2740042338,25.401369292
S82m30p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.5182516024
S82p26m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8068100862,24.5749411357
S82p26m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8277988644
S82p26m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8210414561,24.6092027926
S82p26m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8577665698
S82p26m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5843270716,-0.609437912434
S82p26m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p26m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0261293964
S82p26m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0966541278
S82p4p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7566708649,24.5108237133
S82p4p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7526329491
S82p4p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7295430596,24.541120162
S82p4p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7801065264
S82p4p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5110954334,-0.609437912434
S82p4p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p4p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.9805293944
S82p4p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0538328528
S82p6m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7802862546,24.6087696758
S82p6m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.868117498
S82p6m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.755665413,24.634950114
S82p6m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8897339281
S82p6m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6227559436,-0.609437912434
S82p6m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p6m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.0460400355,25.1080697688
S82p6m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1558907104
S82m22m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0555432788,24.8924773395
S82m22m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.1210544291
S82m22m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.067644126,24.928208475
S82m22m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.1538663557
S82m22m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.9438138781,-0.609437912434
S82m22m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m22m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.3379493864,25.4598250477
S82m22m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.5438442118
S82m29p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0792774684,24.844733986
S82m29p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0549272106
S82m29p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0547929288,24.8917292012
S82m29p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.1038964325
S82m29p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.8795265578,-0.609437912434
S82m29p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m29p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.3971781872
S82m29p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.5331128721
S82m14p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0126656031,24.7733907979
S82m14p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0169913407
S82m14p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9863911412,24.8099237025
S82m14p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0514569242
S82m14p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6761270528,-0.609437912434
S82m14p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m14p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.2576828144
S82m14p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.3591621826
S82p28p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9237593419,24.7328828542
S82p28p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.9729681927
S82p28p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9348882428,24.7604693779
S82p28p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9969669967
S82p28p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.801720357,-0.609437912434
S82p28p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p28p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.220149156
S82p28p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2916959034
S82p12p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9049456036,24.7424205735
S82p12p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.01237414
S82p12p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8842898571,24.774348068
S82p12p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0379293307
S82p12p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.8280172786,-0.609437912434
S82p12p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p12p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2167793163,25.2860011572
S82p12p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.3459078227
S82p24m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8103503468,24.5736819529
S82p24m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8222146924
S82p24m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7830757105,24.6048301127
S82p24m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8492064034
S82p24m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5451596533,-0.609437912434
S82p24m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p24m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0406231528
S82p24m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1099068919
S82m11m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9545941172,24.6644584574
S82m11m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8745840845
S82m11m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.923136235,24.6995949703
S82m11m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9088312447
S82m11m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6698287602,-0.609437912434
S82m11m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m11m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.1219698765
S82m11m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1929286543
S82p7m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8742554681,24.7178354071
S82p7m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.976359984
S82p7m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8526772273,24.7469857223
S82p7m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0014134754
S82p7m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7920955058,-0.609437912434
S82p7m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p7m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.1372688661,25.2231965593
S82p7m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2748351581
S82p21m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7032185478,24.5045470514
S82p21m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7454712613
S82p21m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7145703881,24.5325173552
S82p21m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7701680926
S82p21m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5350478755,-0.609437912434
S82p21m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p21m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.9959737883
S82p21m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0656060004
S82m12m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.6518657126,24.4113087658
S82m12m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.6403294184
S82m12m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.6655369644,24.4454882717
S82m12m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.6724450797
S82m12m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5203996701,-0.609437912434
S82m12m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m12m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.8979458859
S82m12m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,25.9844918491
S82p8p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8810112511,24.656805948
S82p8p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.9048193026
S82p8p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8958868275,24.6918090194
S82p8p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9364626195
S82p8p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6938023509,-0.609437912434
S82p8p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p8p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.1294999345
S82p8p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2060067309
S82m38m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0022985749,24.8810722369
S82m38m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.082277706
S82m38m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0647525962,24.9292308818
S82m38m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.132077553
S82m38m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.8536700307,-0.609437912434
S82m38m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m38m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.4674444479,25.5280519845
S82m38m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.6386850717
S82p41p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9699473547,24.8206840643
S82p41p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0642144468
S82p41p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9821287742,24.8505109239
S82p41p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0888592051
S82p41p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.9174049693,-0.609437912434
S82p41p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p41p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2963058573,25.3443725678
S82p41p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.412359716
S82p17p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7579569537,24.5607453498
S82p17p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8145322916
S82p17p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7706322282,24.591041758
S82p17p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8406556478
S82p17p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5759158982,-0.609437912434
S82p17p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p17p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0422858581
S82p17p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1022638745
S82p42m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9806287671,24.6907499468
S82p42m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.9460183275
S82p42m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9514051266,24.7268597687
S82p42m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9785750755
S82p42m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6655756659,-0.609437912434
S82p42m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p42m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0956512247
S82p42m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1808267093
S82p1m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9289670182,24.77240975
S82p1m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0148723126
S82p1m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9071230897,24.8004571302
S82p1m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0396465581
S82p1m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.8974227044,-0.609437912434
S82p1m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p1m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2114746645,25.3056379948
S82p1m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.3625916858
S82m15p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9402280497,24.6927603515
S82m15p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.9331951009
S82m15p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9553058814,24.7285233799
S82m15p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9665817847
S82m15p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5497513092,-0.609437912434
S82m15p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m15p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.1591502588
S82m15p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2547920339
S82m4m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.6512317396,24.4803402031
S82m4m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7346931431
S82m4m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.6753778066,24.5150738873
S82m4m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7629287151
S82m4m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.2487248216,-0.609437912434
S82m4m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m4m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,24.9992535421,25.0185574599
S82m4m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0825979785
S82m26p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7193554268,24.5162712344
S82m26p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7193410092
S82m26p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.6949455731,24.5519212259
S82m26p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7552240897
S82m26p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.4580939246,-0.609437912434
S82m26p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m26p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.0009055231,25.0774391903
S82m26p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1690321135
S82m25p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0579863698,24.8924764521
S82m25p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.1089311699
S82m25p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0722417609,24.9327828733
S82m25p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.1480577624
S82m25p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,24.0015574849,-0.609437912434
S82m25p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m25p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.3376826176,25.4578936172
S82m25p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.5558586534
S82m7p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8715172573,24.7039353764
S82m7p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.9382494703
S82m7p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8825305929,24.7318179368
S82m7p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9638854188
S82m7p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7979182417,-0.609437912434
S82m7p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
